"proto_req_id","domain","title","statement","status","claim_confidence","assurance_maturity","evidence_ids","linked_requirement_ids","notes"
"FEC-F3E-PR-001","fec_protocol","Transactional lane sequence","Implementations shall execute the seam transaction lane as `prepare -> open_session -> capability_view -> execute -> commit` with deterministic phase outcomes.","normative","high","specified","DOC-FEC-DESIGN;DOC-FEC-ASSURANCE;DOC-FEC-TEST;DOC-OXFML-SYSTEM","XLS-CF-FEC-PR-001","Canonical OxFml design baseline."
"FEC-F3E-PR-002","fec_protocol","Stable identity and fence tuple","Sessions and commits shall be fenced by `formula_stable_id`, `formula_token`, `snapshot_epoch`, `bind_hash`, and `profile_version`.","normative","high","specified","DOC-FEC-DESIGN;DOC-FEC-ASSURANCE;DOC-OXFML-IDS;DOC-OXFML-FORMAL","XLS-CF-FEC-REF-001","The fence tuple must be modelable and replayable."
"FEC-F3E-PR-003","fec_protocol","Atomic commit bundle","Accepted commits shall publish one atomic bundle containing `value_delta`, `shape_delta`, `topology_delta`, and optional `format_delta` or `display_delta`.","normative","high","specified","DOC-FEC-DESIGN;DOC-FEC-ASSURANCE;DOC-FEC-TEST;DOC-OXFML-SHAPES","XLS-CF-FEC-PR-001;XLS-CF-FEC-PR-004","Required for OxCalc coordinator consumption."
"FEC-F3E-PR-003A","fec_protocol","Candidate result distinct from publication","Successful evaluation shall first yield an accepted candidate result distinct from committed publication; evaluator success alone is not publication.","normative","high","specified","DOC-FEC-DESIGN;DOC-FEC-ASSURANCE;DOC-FEC-TEST;DOC-OXFML-SHAPES","XLS-CF-FEC-PR-001","Preserves evaluator output versus coordinator publication."
"FEC-F3E-PR-003B","fec_protocol","Minimum payload schema sufficiency","Candidate results, commit bundles, spill events, typed reject contexts, and trace payloads shall expose minimum typed field sets sufficient for deterministic coordinator interpretation and replay.","normative","medium","specified","DOC-FEC-DESIGN;DOC-FEC-ASSURANCE;DOC-FEC-TEST;DOC-OXFML-SCHEMAS","XLS-CF-FEC-PR-001;XLS-CF-FEC-PR-004","Schema-level tightening without freezing final encodings."
"FEC-F3E-PR-003C","fec_protocol","Publication-surface delta derivation","When prepared-result hints cross the seam as explicit publication obligations, OxFml shall derive typed `format_delta` or `display_delta` artifacts rather than leaving those consequences implicit in local evaluator state.","normative","medium","specified","DOC-FEC-DESIGN;DOC-FEC-TEST;DOC-OXFML-SCHEMAS;DOC-OXFML-TAXONOMY","XLS-CF-FEC-PR-001;XLS-CF-FEC-PR-004","Current local witnesses: `crates/oxfml_core/tests/host_tests.rs` and `crates/oxfml_core/tests/fixtures/empirical_oracle_scenarios.json`."
"FEC-F3E-PR-004","fec_protocol","Topology facts not policy","`topology_delta` shall carry evaluator facts and dependency evidence only; global recalc policy remains OxCalc-owned.","normative","high","specified","DOC-FEC-DESIGN;DOC-OXFML-SYSTEM","XLS-CF-FEC-PR-001","Prevents seam policy leakage."
"FEC-F3E-PR-004A","fec_protocol","Typed dependency consequence facts","`topology_delta` shall surface typed dependency consequence facts where additions, removals, or reclassifications need replay-stable explanation beyond plain dependency identity lists.","normative","medium","specified","DOC-FEC-DESIGN;DOC-FEC-TEST;DOC-OXFML-SCHEMAS;DOC-OXFML-TAXONOMY","XLS-CF-FEC-PR-003;XLS-CF-FEC-PR-004","Current local witnesses: `crates/oxfml_core/tests/session_service_tests.rs` and `crates/oxfml_core/tests/fixtures/session_lifecycle_replay_cases.json`."
"FEC-F3E-PR-005","fec_protocol","Session-bound capability authority","Capability decisions shall be session-bound, commit-validated, and machine-typed on denial.","normative","high","specified","DOC-FEC-DESIGN;DOC-FEC-ASSURANCE;DOC-FEC-TEST","XLS-CF-FEC-PR-002;XLS-CF-FEC-REF-003","Required for replayable evaluator behavior."
"FEC-F3E-PR-005A","fec_protocol","Fence incompatibility consequences","Fence or capability incompatibility shall yield typed no-publish rejection rather than partial publication or ambiguous failure.","normative","high","specified","DOC-FEC-DESIGN;DOC-FEC-ASSURANCE;DOC-OXFML-SHAPES","XLS-CF-FEC-PR-002;XLS-CF-FEC-PR-004","Makes reject consequences explicit."
"FEC-F3E-PR-006","fec_protocol","Overlay lifecycle discipline","Dynamic-reference, spill, and format overlays shall be session-local until commit and fenced by epoch, token, bind hash, and profile version.","normative","high","specified","DOC-FEC-DESIGN;DOC-FEC-ASSURANCE;DOC-FEC-TEST;DOC-OXFML-IDS;DOC-OXFML-FORMAL","XLS-CF-FEC-PR-003","Designed for replay and formal modeling."
"FEC-F3E-PR-006A","fec_protocol","Coordinator-relevant runtime effect reporting","Runtime-derived evaluator effects that materially affect coordinator correctness shall be surfaced directly or be derivable from typed candidate-result payloads and events.","normative","medium","specified","DOC-FEC-DESIGN;DOC-FEC-ASSURANCE;DOC-OXFML-SHAPES","XLS-CF-FEC-PR-003;XLS-CF-FEC-PR-004","Covers dynamic refs, spill, format dependency, and related surfaced facts."
"FEC-F3E-PR-006B","fec_protocol","Typed delta and effect taxonomy","Published deltas and surfaced evaluator effects shall use explicit typed family taxonomies rather than opaque generic buckets.","normative","medium","specified","DOC-FEC-DESIGN;DOC-FEC-ASSURANCE;DOC-OXFML-TAXONOMY","XLS-CF-FEC-PR-003;XLS-CF-FEC-PR-004","Supports coordinator correctness and replay."
