handoff_id,direction,title,status,source_workset,target_workset,filed_date,acknowledged_date
HANDOFF-CALC-001,inbound,Coordinator-Facing Seam Hardening for Accepted Results Reject Detail and Fence Consequences,acknowledged,OxCalc/W005,W001,2026-03-15,2026-03-15
HO-FN-002,inbound,Host-Query Active Selection and CELL INFO Seam Pressure,acknowledged,OxFunc/W015,W003/W006,2026-03-15,2026-03-15
HANDOFF-FML-001,outbound,Minimum Seam Schema Tightening for Candidate Commit Reject and Trace Payloads,filed,W001,OxCalc-TBD,2026-03-15,
HANDOFF-DNAONECALC-001,outbound,XML Verification Publication and Replay Export First Slice,filed,W056,DnaOneCalc-TBD,2026-04-06,
HANDOFF-DNAONECALC-002,outbound,Effective Display XML Follow-On Response,filed,W056,DnaOneCalc-TBD,2026-04-06,
HANDOFF_OXREPLAY_001,outbound,XML Comparison Views Response,filed,W056,OxReplay-TBD,2026-04-06,
HANDOFF-OXFUNC-001,outbound,Operator Value Surface and Array-Lift Expansion,filed,W059,OxFunc-TBD,2026-04-07,
HANDOFF-OXFUNC-002,outbound,MultiArea Value Materialization Through OxFunc Resolver-Driven Combination,acknowledged,W059,OxFunc/W076,2026-04-07,2026-04-07
HANDOFF-OXFUNC-003,outbound,Corpus IF Empty-Text Condition And Floating Comparison Follow-On,acknowledged,W061,OxFunc/W077,2026-04-08,2026-04-08
HO-FN-008,inbound,Corpus IF Correction And Numeric Comparison Tolerance,acknowledged,OxFunc/W077,W061,2026-04-08,2026-04-08
HANDOFF-OXFUNC-004,outbound,TAKE Omitted Row Count In Complex Helper Lambda,filed,local-direct-investigation,OxFunc-TBD,2026-04-10,
HO-FN-009,inbound,Locale/format Seam Ownership Realignment,acknowledged,OxFunc/W082,IP-05,2026-04-10,2026-04-29
HO-FN-011,inbound,Canonical Function Registry Consumption,acknowledged,OxFunc/W091,W068,2026-05-03,2026-05-03
HANDOFF-OXFUNC-005,outbound,W068 Canonical Registry Consumption Landing,filed,W068,OxFunc-TBD,2026-05-04,
HANDOFF-DNAONECALC-003,outbound,W068 Registry-Backed Function Help,filed,W068,DnaOneCalc-TBD,2026-05-04,
HANDOFF-DNAONECALC-004,outbound,W068 Registry-Backed Completion Proposals,filed,W068 follow-up,DnaOneCalc-TBD,2026-05-04,
HANDOFF-DNAONECALC-005,outbound,W069 Format Engine Time Fraction Accounting,filed,W069,DnaOneCalc-TBD,2026-05-04,
HANDOFF-DNAONECALC-IN-006,inbound,Locale Expansion,acknowledged,DnaOneCalc-TBD,W070,2026-05-04,2026-05-04
HANDOFF-DNAONECALC-IN-007,inbound,Conditional Formatting Predicate And Relative Date Rules,acknowledged,DnaOneCalc-TBD,W070,2026-05-04,2026-05-04
HANDOFF-DNAONECALC-IN-008,inbound,Custom Format Grammar,acknowledged,DnaOneCalc-TBD,W070,2026-05-04,2026-05-04
HANDOFF-DNAONECALC-006,outbound,W070 Conditional Formatting Predicate Rules Landing,filed,W070,DnaOneCalc-TBD,2026-05-04,
HANDOFF-OXFUNC-006,outbound,W070 Locale Profile Expansion Request,filed,W070,OxFunc-TBD,2026-05-04,
HANDOFF-DNAONECALC-007,outbound,W070 Locale And Custom Format Triage,filed,W070,DnaOneCalc-TBD,2026-05-04,
HANDOFF-DNAONECALC-IN-009,inbound,CF Array Per Cell,acknowledged,DnaOneCalc-TBD,W071,2026-05-04,2026-05-04
HANDOFF-DNAONECALC-IN-010,inbound,CF Aggregate Visualization Rules,acknowledged,DnaOneCalc-TBD,W072,2026-05-04,2026-05-04
HANDOFF-DNAONECALC-008,outbound,W071 CF Array Per Cell Landing,acknowledged,W071,DnaOneCalc-TBD,2026-05-04,2026-05-04
HANDOFF-DNAONECALC-009,outbound,W072 CF Aggregate Visualization Intake,acknowledged,W072,DnaOneCalc-TBD,2026-05-04,2026-05-04
HANDOFF-DNAONECALC-010,outbound,W072 Aggregate Predicate Slice,acknowledged,W072,DnaOneCalc-TBD,2026-05-04,2026-05-04
HANDOFF-DNAONECALC-011,outbound,W072 Visualization Rule Slice,acknowledged,W072,DnaOneCalc-TBD,2026-05-04,2026-05-04
HANDOFF-DNAONECALC-012,outbound,W073 Typed CF Payload First Slice,filed,W073,DnaOneCalc-TBD,2026-05-04,
HANDOFF-DNAONECALC-013,outbound,W076 Formula Drill Trace Runtime Projection,filed,W076,DnaOneCalc-TBD,2026-05-16,
HO-FN-013,inbound,Owned Runtime Registry Metadata Shape,acknowledged,OxFunc/W091,W068,2026-05-04,2026-05-06
HO-FN-014,inbound,UDF Registry Mutation And Name-Resolution Invalidation,acknowledged,OxFunc/W093,W074,2026-05-04,2026-05-06
HO-FN-016,inbound,Compiled Surface Call-Site And Full-Catalog Index Dispatch,acknowledged,OxFunc/W096,W075,2026-05-07,2026-05-07
HANDOFF-CALC-002,inbound,Recalc Session And Plan Template Support For W050,acknowledged,OxCalc/W050,OxFml-successor,2026-05-14,2026-05-14
HANDOFF-CALC-003,inbound,Numerical Reduction And Error Algebra For W050,acknowledged,OxCalc/W050,OxFml/OxFunc-successor,2026-05-14,2026-05-14
HANDOFF-CALC-004,inbound,Capability-Set Hole Admission For W050,acknowledged,OxCalc/W050,OxFml/OxFunc-successor,2026-05-14,2026-05-14
HANDOFF-CALC-005,inbound,Generic Host Formula Context And Namespace Resolution For W051,acknowledged,OxCalc/W051,W051/W074,2026-05-21,2026-05-21
HANDOFF-CALC-005-W074,outbound,W074 Name/Call Freeze Follow-Up For OxCalc W051/W056,filed,W074,OxCalc/W056,2026-05-24,
