bug_id,opened_date,title,status,owner_workset,reported_against_ref,reproduced_on_ref,introduced_in_ref,fixed_in_ref,ownership_class,root_cause_class,stream_path,last_reviewed,notes
BUG-FML-001,2026-04-06,Exponentiation formulas diverge from Excel,validated_local,W059,2dd48c72412797f01e34d4e4b9a1146cbddcf3cd,2dd48c72412797f01e34d4e4b9a1146cbddcf3cd,unknown,working-tree-uncommitted,OxFml-owned bug,initial_impl_gap,docs/bugs/streams/BUG-FML-001_exponentiation_formulas_diverge_from_excel.md,2026-04-07,"^ is now tokenized, parsed, and bound in OxFml, and the working tree routes the admitted arithmetic semantics through OxFunc operator rows."
BUG-FML-002,2026-04-06,Unknown lexer tokens permit partial evaluation instead of deterministic failure,validated_local,none yet,2dd48c72412797f01e34d4e4b9a1146cbddcf3cd,2dd48c72412797f01e34d4e4b9a1146cbddcf3cd,unknown,working-tree-uncommitted,OxFml-owned bug,initial_impl_gap,docs/bugs/streams/BUG-FML-002_unknown_lexer_tokens_permit_partial_evaluation.md,2026-04-06,"Execution paths now reject syntax-diagnostic formulas in the working tree instead of publishing partial prefix results; local validation floor passed."
BUG-FML-003,2026-04-07,Ordinary operator semantics should dispatch to OxFunc,validated_local,W059,2dd48c72412797f01e34d4e4b9a1146cbddcf3cd,2dd48c72412797f01e34d4e4b9a1146cbddcf3cd,unknown,working-tree-uncommitted,OxFml-owned bug,initial_impl_gap,docs/bugs/streams/BUG-FML-003_ordinary_operator_semantics_should_dispatch_to_oxfunc.md,2026-04-07,"Unary, arithmetic, percent, concat, comparison, and explicit reference operators now dispatch through FUNC.OP_* rows in the working tree; remaining risk is reference-model policy, not local operator semantics."
BUG-FML-004,2026-04-07,Array-lifted operator dispatch needs seam expansion,validated_local,W059,2dd48c72412797f01e34d4e4b9a1146cbddcf3cd,working-tree-uncommitted,unknown,working-tree-uncommitted,shared seam gap,initial_impl_gap,docs/bugs/streams/BUG-FML-004_array_lifted_operator_dispatch_needs_seam_expansion.md,2026-04-07,"The earlier array fallback was removed after local OxFunc inspection and OxFml validation showed admitted array-lifted arithmetic rows now pass through the OxFunc-backed path in this workspace."
BUG-FML-005,2026-04-08,Scientific numeric literals are not lexed,validated_local,W061,7e2a5c0687aeec9d6635c5b3934394f531209e14,7e2a5c0687aeec9d6635c5b3934394f531209e14,unknown,working-tree-uncommitted,OxFml-owned bug,initial_impl_gap,docs/bugs/streams/BUG-FML-005_scientific_numeric_literals_are_not_lexed.md,2026-04-08,"Scientific numeric literal support now exists in the working tree, with evaluator coverage for exponent notation and leading-decimal scientific forms."
BUG-FML-006,2026-04-08,IF empty-text condition diverges from Excel,closed,W061,7e2a5c0687aeec9d6635c5b3934394f531209e14,7e2a5c0687aeec9d6635c5b3934394f531209e14,unknown,not_applicable,unknown,unknown,docs/bugs/streams/BUG-FML-006_if_empty_text_condition_diverges_from_excel.md,2026-04-08,"HO-FN-008 corrected the intake: current Excel replay yields #VALUE!, and the live failure was the local OxFml worksheet-error projection bug tracked under BUG-FML-009."
BUG-FML-007,2026-04-08,Floating comparison equality diverges from Excel,validated_local,W061,7e2a5c0687aeec9d6635c5b3934394f531209e14,7e2a5c0687aeec9d6635c5b3934394f531209e14,unknown,sibling-working-tree-after-HO-FN-008,OxFunc-owned bug,initial_impl_gap,docs/bugs/streams/BUG-FML-007_floating_comparison_equality_diverges_from_excel.md,2026-04-08,"HO-FN-008 broadened the lane to operators, criteria/database, and SWITCH using truncation-style 15-significant-digit tolerance, while MATCH/XMATCH/DELTA remain exact; OxFml now validates the operator/SWITCH/DELTA split against the current sibling workspace."
BUG-FML-008,2026-04-08,Multi-character comparison tokens advance incorrectly,validated_local,W061,7e2a5c0687aeec9d6635c5b3934394f531209e14,7e2a5c0687aeec9d6635c5b3934394f531209e14,unknown,working-tree-uncommitted,OxFml-owned bug,code_regression,docs/bugs/streams/BUG-FML-008_multi_character_comparison_tokens_advance_incorrectly.md,2026-04-08,"Lexer cursor advancement now normalizes to token span end, and multi-character comparison operators are directly exercised in evaluator tests."
BUG-FML-009,2026-04-08,OxFunc worksheet errors are promoted to fatal failures,validated_local,W061,7e2a5c0687aeec9d6635c5b3934394f531209e14,7e2a5c0687aeec9d6635c5b3934394f531209e14,unknown,working-tree-uncommitted,OxFml-owned bug,initial_impl_gap,docs/bugs/streams/BUG-FML-009_oxfunc_worksheet_errors_are_promoted_to_fatal_failures.md,2026-04-08,"evaluate_function_call now normalizes ordinary OxFunc worksheet errors to EvalValue::Error(...), with focused ABS and IF regressions in the working tree."
BUG-FML-010,2026-04-08,Scientific numeric boundary 1E+308 semantics are unpinned,triaged,W061,7e2a5c0687aeec9d6635c5b3934394f531209e14,7e2a5c0687aeec9d6635c5b3934394f531209e14,unknown,not yet fixed,unknown,vague_spec,docs/bugs/streams/BUG-FML-010_scientific_numeric_boundary_1e308_semantics_are_unpinned.md,2026-04-08,"Split from FTC-0050; current disagreement spans worksheet entry, workbook load, COM lanes, OxXlPlay capture, and OxFml eval, so ownership is intentionally not yet assigned."
BUG-FML-011,2026-04-10,TAKE omitted row count in helper lambda path,handed_off,none yet,7e2a5c0687aeec9d6635c5b3934394f531209e14,7e2a5c0687aeec9d6635c5b3934394f531209e14,unknown,not yet fixed,OxFunc-owned bug,initial_impl_gap,docs/bugs/streams/BUG-FML-011_take_omitted_row_count_in_helper_lambda_path.md,2026-04-10,"After the local OxFml invocation-environment fix, the remaining failure in the complex cMul formula reduces to TAKE(array,,count) handling; handed off under HANDOFF-OXFUNC-004."
